what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1368446841285
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1368446841285
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1368446841285
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1368446841285
os,sysinfo,,,"linux",1368446841287
arch,sysinfo,,,"x86",1368446841287
ws,sysinfo,,,"gtk",1368446841287
locale,sysinfo,,,"en_US",1368446841287
processors,sysinfo,,,"1",1368446841287
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1368446841287
java.runtime.version,sysinfo,,,"1.6.0_27-b27",1368446841287
java.specification.name,sysinfo,,,"Java Platform API Specification",1368446841287
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368446841287
java.specification.version,sysinfo,,,"1.6",1368446841287
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1368446841287
java.version,sysinfo,,,"1.6.0_27",1368446841287
java.vm.info,sysinfo,,,"mixed mode, sharing",1368446841287
java.vm.name,sysinfo,,,"OpenJDK Client VM",1368446841287
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368446841287
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368446841287
java.vm.specification.version,sysinfo,,,"1.0",1368446841287
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1368446841287
java.vm.version,sysinfo,,,"20.0-b12",1368446841287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368446855057
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20100526-0800,"org.eclipse.team.cvs.ssh2",1368446893365
started,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1368446952915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1368446976478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368446976492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368446976882
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1368446977574
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1368446977577
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1368446978191
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1368446978304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368447005783
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1368447005915
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1368447005987
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1368447016303
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1368447016341
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1368447057975
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1368447058549
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1368447058651
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1368447058668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368447064009
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1368447065910
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1368447065971
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1368447066549
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1368447066556
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1368447066557
stopped,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1368447066557
stopped,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1368447066557
stopped,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1368447066557
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1368447066558
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1368447066558
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1368447066558
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1368447066558
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1368447066558
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1368447066558
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1368447066558
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1368447066558
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1368447066558
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1368447066558
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1368447066558
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1368447066558
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1368447066569
stopped,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1368447066577
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1368447066585
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1368447066585
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1368447066585
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1368447066585
